trigger_class,prior,workerid,rt,Answer.time_in_minutes,trigger,prior_fact,slide_number_in_experiment,response,question_type,content,block,short_trigger,age,language,american,comments,trial
C,high_prior,7,6107,8.472283333333333,establish,Tony really likes to party with his friends,55,0.49,ai,tony,block2,establish,26,English,Yes,NA,50
C,high_prior,7,4817,8.472283333333333,discover,Olivia works the third shift,56,0.95,ai,olivia,block2,discover,26,English,Yes,NA,51
MC,NA,7,3388,8.472283333333333,MC,Garages are used to store cars and other things,57,0,ai,garage,block2,MC,26,English,Yes,NA,52
C,low_prior,8,31396,10.393166666666668,be_right,Owen lives in New Orleans,5,0.06,projective,owen,block1,be_right,32,english,Yes,NA,1
C,low_prior,8,33782,10.393166666666668,confess,Frank is allergic to cats,6,0.76,projective,frank,block1,confess,32,english,Yes,NA,2
C,low_prior,8,22312,10.393166666666668,hear,Emily never has any money,7,0.71,projective,emily,block1,hear,32,english,Yes,NA,3
C,high_prior,8,17184,10.393166666666668,think,Mia is a college student,8,0.25,projective,mia,block1,think,32,english,Yes,NA,4
C,low_prior,8,11039,10.393166666666668,be_annoyed,Isabella is a vegetarian,9,0.94,projective,isabella,block1,be_annoyed,32,english,Yes,NA,5
C,high_prior,8,18280,10.393166666666668,confirm,Julian is Cuban,10,0.33,projective,julian,block1,confirm,32,english,Yes,NA,6
C,low_prior,8,17214,10.393166666666668,admit,Zoe is 5 years old,11,0.85,projective,zoe,block1,admit,32,english,Yes,NA,7
C,high_prior,8,17855,10.393166666666668,reveal,Olivia works the third shift,12,0.82,projective,olivia,block1,reveal,32,english,Yes,NA,8
C,low_prior,8,13137,10.393166666666668,acknowledge,Sophia is a high end fashion model,13,0.82,projective,sophia,block1,acknowledge,32,english,Yes,NA,9
MC,NA,8,12462,10.393166666666668,MC,Hats are worn on the head,14,0.07,projective,hat,block1,MC,32,english,Yes,NA,10
C,low_prior,8,17720,10.393166666666668,see,Jayden doesn't have a driver's license,15,0.63,projective,jayden,block1,see,32,english,Yes,NA,11
MC,NA,8,12392,10.393166666666668,MC,Many children like ice cream,16,0.04,projective,kids,block1,MC,32,english,Yes,NA,12
C,high_prior,8,14527,10.393166666666668,say,Mary is taking a prenatal yoga class,17,0.09,projective,mary,block1,say,32,english,Yes,NA,13
MC,NA,8,13385,10.393166666666668,MC,Pizza is sold at the pizzeria,18,0.06,projective,pizza,block1,MC,32,english,Yes,NA,14
C,low_prior,8,13289,10.393166666666668,demonstrate,Emma is in first grade,19,0.17,projective,emma,block1,demonstrate,32,english,Yes,NA,15
C,high_prior,8,15094,10.393166666666668,suggest,Josie loves France,20,0.23,projective,josie,block1,suggest,32,english,Yes,NA,16
C,low_prior,8,13953,10.393166666666668,establish,Jon lives 10 miles away from work,21,0.34,projective,jon,block1,establish,32,english,Yes,NA,17
MC,NA,8,9536,10.393166666666668,MC,Ballet is a type of dance,22,0.05,projective,ballet,block1,MC,32,english,Yes,NA,18
C,high_prior,8,10919,10.393166666666668,know,Tony really likes to party with his friends,23,0.88,projective,tony,block1,know,32,english,Yes,NA,19
C,high_prior,8,8104,10.393166666666668,discover,Grace loves her sister,24,0.89,projective,grace,block1,discover,32,english,Yes,NA,20
C,high_prior,8,15896,10.393166666666668,pretend,Josh is a 5-year old boy,25,0.02,projective,josh,block1,pretend,32,english,Yes,NA,21
C,high_prior,8,10720,10.393166666666668,announce,Danny loves cake,26,0.64,projective,danny,block1,announce,32,english,Yes,NA,22
C,high_prior,8,13192,10.393166666666668,inform,Charley lives in Mexico,27,0.65,projective,charley,block1,inform,32,english,Yes,NA,23
C,low_prior,8,6631,10.393166666666668,prove,Jackson is obese,28,0.36,projective,jackson,block1,prove,32,english,Yes,NA,24
MC,NA,8,13969,10.393166666666668,MC,Garages are used to store cars and other things,29,0.11,projective,garage,block1,MC,32,english,Yes,NA,25
MC,NA,8,4879,10.393166666666668,MC,Muffins are sold at the bakery,30,0.02,projective,muffins,block1,MC,32,english,Yes,NA,26
C,low_prior,8,20604,10.393166666666668,establish,Jon lives 10 miles away from work,32,0.84,ai,jon,block2,establish,32,english,Yes,NA,27
C,low_prior,8,6279,10.393166666666668,prove,Jackson is obese,33,0.81,ai,jackson,block2,prove,32,english,Yes,NA,28
C,low_prior,8,6224,10.393166666666668,be_annoyed,Isabella is a vegetarian,34,1,ai,isabella,block2,be_annoyed,32,english,Yes,NA,29
C,high_prior,8,4375,10.393166666666668,announce,Danny loves cake,35,0.83,ai,danny,block2,announce,32,english,Yes,NA,30
C,low_prior,8,5479,10.393166666666668,acknowledge,Sophia is a high end fashion model,36,0.71,ai,sophia,block2,acknowledge,32,english,Yes,NA,31
C,low_prior,8,7728,10.393166666666668,admit,Zoe is 5 years old,37,0.95,ai,zoe,block2,admit,32,english,Yes,NA,32
C,high_prior,8,6376,10.393166666666668,reveal,Olivia works the third shift,38,0.8200000000000001,ai,olivia,block2,reveal,32,english,Yes,NA,33
C,high_prior,8,6241,10.393166666666668,discover,Grace loves her sister,39,0.5,ai,grace,block2,discover,32,english,Yes,NA,34
C,low_prior,8,7718,10.393166666666668,be_right,Owen lives in New Orleans,40,0.050000000000000044,ai,owen,block2,be_right,32,english,Yes,NA,35
MC,NA,8,4945,10.393166666666668,MC,Hats are worn on the head,41,0.050000000000000044,ai,hat,block2,MC,32,english,Yes,NA,36
C,high_prior,8,8240,10.393166666666668,confirm,Julian is Cuban,42,0.24,ai,julian,block2,confirm,32,english,Yes,NA,37
C,low_prior,8,8696,10.393166666666668,see,Jayden doesn't have a driver's license,43,0.63,ai,jayden,block2,see,32,english,Yes,NA,38
MC,NA,8,5999,10.393166666666668,MC,Muffins are sold at the bakery,44,0.020000000000000018,ai,muffins,block2,MC,32,english,Yes,NA,39
C,low_prior,8,6296,10.393166666666668,confess,Frank is allergic to cats,45,0.81,ai,frank,block2,confess,32,english,Yes,NA,40
MC,NA,8,5687,10.393166666666668,MC,Ballet is a type of dance,46,0.050000000000000044,ai,ballet,block2,MC,32,english,Yes,NA,41
C,low_prior,8,7641,10.393166666666668,demonstrate,Emma is in first grade,47,0.6599999999999999,ai,emma,block2,demonstrate,32,english,Yes,NA,42
C,high_prior,8,7375,10.393166666666668,inform,Charley lives in Mexico,48,0.95,ai,charley,block2,inform,32,english,Yes,NA,43
MC,NA,8,3745,10.393166666666668,MC,Pizza is sold at the pizzeria,49,0.050000000000000044,ai,pizza,block2,MC,32,english,Yes,NA,44
C,high_prior,8,5880,10.393166666666668,pretend,Josh is a 5-year old boy,50,0.91,ai,josh,block2,pretend,32,english,Yes,NA,45
C,high_prior,8,6359,10.393166666666668,think,Mia is a college student,51,0.83,ai,mia,block2,think,32,english,Yes,NA,46
MC,NA,8,4928,10.393166666666668,MC,Many children like ice cream,52,0.08999999999999997,ai,kids,block2,MC,32,english,Yes,NA,47
MC,NA,8,3385,10.393166666666668,MC,Garages are used to store cars and other things,53,0.09999999999999998,ai,garage,block2,MC,32,english,Yes,NA,48
C,low_prior,8,4240,10.393166666666668,hear,Emily never has any money,54,0.84,ai,emily,block2,hear,32,english,Yes,NA,49
C,high_prior,8,4983,10.393166666666668,suggest,Josie loves France,55,0.87,ai,josie,block2,suggest,32,english,Yes,NA,50
C,high_prior,8,6616,10.393166666666668,say,Mary is taking a prenatal yoga class,56,0.89,ai,mary,block2,say,32,english,Yes,NA,51
C,high_prior,8,3601,10.393166666666668,know,Tony really likes to party with his friends,57,0.8200000000000001,ai,tony,block2,know,32,english,Yes,NA,52
